,A,B,G,J,Q,R,Z,U
268,1,0,2,1,0,1,1,NA
269,1,2,1,2,2,2,1,NA
270,2,1,2,2,1,2,2,NA
271,1,2,1,1,2,1,1,NA
272,2,1,2,2,1,2,2,NA
273,1,2,1,1,2,1,1,NA
274,2,1,2,2,1,2,2,NA
275,1,1,1,2,1,2,1,NA
276,2,1,2,2,1,2,2,NA
277,2,1,2,2,1,2,2,NA
278,2,1,0,2,1,2,2,NA
279,2,1,2,2,1,2,2,NA
280,1,2,1,1,2,1,1,NA
281,1,2,2,2,2,0,1,NA
282,1,2,1,1,2,1,1,NA
283,0,1,0,0,1,0,0,NA
284,1,3,1,1,3,2,1,NA
285,2,1,2,2,1,2,2,NA
286,2,1,2,2,1,2,2,NA
287,2,1,2,2,1,2,2,NA
288,1,2,1,1,2,1,1,NA
289,1,2,1,0,2,0,1,NA
290,1,1,1,2,1,2,1,NA
291,2,1,2,2,1,2,2,NA
292,1,2,1,1,2,0,1,NA
293,1,2,1,1,2,1,1,NA
294,2,1,2,2,1,2,2,NA
295,1,2,1,1,2,1,1,NA
296,2,1,2,2,1,2,2,NA
297,2,1,2,2,1,2,2,NA
298,2,1,2,2,1,2,2,NA
299,1,2,1,2,2,2,2,NA
300,2,1,2,2,1,2,2,NA
301,2,1,2,2,1,2,2,NA
302,1,2,1,1,2,1,1,NA
303,1,2,1,1,2,1,1,NA
304,0,2,3,3,2,1,1,NA
305,2,1,2,2,1,2,2,NA
306,0,2,0,3,2,3,1,NA
307,0,1,0,2,1,2,4,NA
308,2,2,2,2,1,2,2,NA
309,1,2,1,1,2,1,1,NA
310,0,1,0,0,1,0,0,NA
311,1,2,1,1,2,1,1,NA
312,3,2,1,1,2,2,2,NA
313,2,1,2,1,1,1,2,NA
314,2,1,2,1,1,1,2,NA
315,1,0,1,1,0,1,1,NA
316,2,1,2,2,1,2,2,NA
317,1,2,1,1,2,1,1,NA
