,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,ø,se,ø,se,se,se,se,se,2,,Non, Non,,0,1,0,1,1,1,1,1
,ø,estas,ø,ø,estas,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,ø,ø,es,es,2,traduction,Non, Non,,0,0,0,0,0,0,2,2
,ø,ø,ø,ø,ø,E,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,las,ø,las,las,las,las,las,las,2,traduction,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,ø,ø,ø,más,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,mejores,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,al,ø,al,ø,ø,ø,al,ø,2,traduction,Non, Non,,2,0,2,0,0,0,2,0
,ø,son,ø,ø,son,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,ø,E,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,muy,ø,ø,muy,ø,ø,muy,ø,2,traduction,Non, Non,,2,0,0,2,0,0,2,0
,en,ø,ø,en,ø,en,en,en,2,traduction,Non, Non,,2,0,0,2,0,2,2,2
,son,son,ø,son,son,ø,son,son,2,traduction,Non, Non,,1,1,0,1,1,0,1,1
,lo,lo,ø,lo,lo,lo,lo,lo,2,traduction,Non, Non,,1,1,0,1,1,1,1,1
,ø,ø,ø,ø,ø,libro,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,se,ø,se,se,se,ø,se,ø,2,traduction,Non, Non,,1,0,1,1,1,0,1,0
,mucho,mucho,mucho,mucho,ø,mucho,mucho,mucho,2,traduction,Non, Non,,2,2,2,2,0,2,2,2
,llegan,se,llegan,ø,llegan,se,llegan,son,2,traduction,Non, Non,,3,2,3,0,3,2,3,1
,ø,allegan,ø,allegan,más,allegan,ø,allegados,2,traduction,Non, Non,,0,2,0,2,4,2,0,1
,tierras,tierras,tierras,ø,tierras,tierras,tierras,tierras,2,traduction,Non, Non,,1,1,1,0,1,1,1,1
