,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,ø,Et,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,tener,ø,ø,tener,tener,ø,tener,2,glose,Non, Non,,0,1,0,0,1,1,0,1
,todas,ø,todas,ø,ø,todas,todas,todas,2,glose,Non, Non,,2,0,2,0,0,2,2,2
,tener,ø,tener,tener,ø,ø,tener,ø,2,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,en,en,ø,ø,ø,en,ø,2,glose,Non, Non,,0,2,2,0,0,0,2,0
,ø,ø,ø,no,ø,ø,ø,ø,2,glose,Non, Non,,0,0,0,2,0,0,0,0
,por,por,por,por,ø,por,por,por,2,glose,Non, Non,,2,2,2,2,0,2,2,2
,se,se,se,se,se,ø,se,se,2,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,Et,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,es,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,ø,ø,ø,a,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,la,la,la,la,la,ø,la,la,2,glose,Non, Non,,1,1,1,1,1,0,1,1
,o,o,o,o,ø,o,o,e,2,glose,Non, Non,,3,3,3,3,0,3,3,1
,ø,bien,ø,ø,bien,ø,ø,ø,2,glose,Non, Non,,0,1,0,0,1,0,0,0
,ø,Et,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,que,que,que,que,ø,que,que,que,2,glose,Non, Non,,2,2,2,2,0,2,2,2
,a,ø,ø,a,ø,ø,a,ø,2,glose,Non, Non,,2,0,0,2,0,0,2,0
,ø,los,los,los,los,los,los,los,2,glose,Non, Non,,0,1,1,1,1,1,1,1
,mal,ø,ø,mal,ø,mal,mal,mal,2,glose,Non, Non,,2,0,0,2,0,2,2,2
,ø,mal,ø,ø,mal,ø,ø,ø,2,glose,Non, Non,,0,1,0,0,1,0,0,0
,que,ø,que,que,ø,ø,que,ø,2,glose,Non, Non,,2,0,2,2,0,0,2,0
,a,ø,a,a,a,a,a,ø,2,glose,Non, Non,,1,0,1,1,1,1,1,0
,es,es,es,es,ø,es,es,es,2,glose,Non, Non,,2,2,2,2,0,2,2,2
,a,a,ø,a,ø,ø,a,ø,2,glose,Non, Non,,2,2,0,2,0,0,2,0
,ø,los,los,los,los,ø,los,los,2,glose,Non, Non,,0,1,1,1,1,0,1,1
,ø,Et,ø,ø,Et,ø,ø,ø,2,glose,Non, Non,,0,1,0,0,1,0,0,0
,Ca,ø,Ca,Ca,que,Ca,Ca,ca,2,glose,Non, Non,,1,0,1,1,3,1,1,1
,ø,algunos,ø,ø,algunos,algunos,ø,algunos,2,glose,Non, Non,,0,1,0,0,1,1,0,1
,a,ø,ø,a,ø,ø,a,ø,2,glose,Non, Non,,2,0,0,2,0,0,2,0
,ø,ø,ø,ø,ø,ø,no,ø,2,glose,Non, Non,,0,0,0,0,0,0,2,0
,ø,fecho,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,de,ø,de,de,ø,de,ø,2,glose,Non, Non,,0,1,0,1,1,0,1,0
,libro,libro,libro,libro,libro,libro,libro,ø,2,glose,Non, Non,,1,1,1,1,1,1,1,0
,ø,e,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,e,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,el,ø,el,el,ø,el,ø,2,glose,Non, Non,,0,1,0,1,1,0,1,0
,ø,ø,ø,a,ø,a,ø,ø,2,glose,Non, Non,,0,0,0,2,0,2,0,0
,a,a,a,ø,ø,a,ø,a,2,glose,Non, Non,,2,2,2,0,0,2,0,2
,ø,que,que,que,que,que,que,que,2,glose,Non, Non,,0,1,1,1,1,1,1,1
,a,ø,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,2,0,0,0,0,0,0,0
,lo,ø,lo,lo,lo,lo,lo,lo,2,glose,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,ø,ø,ø,él,ø,ø,2,glose,Non, Non,,0,0,0,0,0,2,0,0
,lo,lo,lo,lo,lo,ø,lo,lo,2,glose,Non, Non,,1,1,1,1,1,0,1,1
,la,la,la,la,la,la,la,ø,2,glose,Non, Non,,1,1,1,1,1,1,1,0
,fe,fe,ø,fe,fe,fe,fe,fe,2,glose,Non, Non,,1,1,0,1,1,1,1,1
,ø,ø,ø,ø,los,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,ø,ø,en,ø,3,,Non, Non,,0,0,0,0,0,0,2,0
,señales,ø,señales,señales,señales,señales,señales,señales,3,,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,e,e,ø,ø,e,ø,3,,Non, Non,,0,0,2,2,0,0,2,0
,es,es,es,es,es,ø,es,es,3,traduction,Non, Non,,1,1,1,1,1,0,1,1
,e,ø,e,e,ø,ø,e,ø,3,traduction,Non, Non,,2,0,2,2,0,0,2,0
,las,las,las,las,las,ø,las,ø,3,traduction,Non, Non,,1,1,1,1,1,0,1,0
,E,ø,et,E,e,Et,E,es,3,traduction,Non, Non,,3,0,2,3,3,2,3,1
,es,ø,es,es,es,es,es,es,3,traduction,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,los,ø,ø,ø,ø,ø,3,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,de,en,de,de,de,en,ø,3,traduction,Non, Non,,0,2,1,2,2,2,1,0
,ø,ø,ø,ø,ø,ø,ø,de,3,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,ø,ø,la,ø,3,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,buenos,a,ø,ø,3,traduction,Non, Non,,0,0,0,0,2,1,0,0
,lidiadores,ø,lidiadores,lidiadores,ø,lidiadores,lidiadores,lidiadores,3,traduction,Non, Non,,2,0,2,2,0,2,2,2
,bien,bien,bien,bien,ø,bien,bien,bien,3,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,ø,la,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ante,ante,ante,ante,ante,ante,ante,ø,3,traduction,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,ø,ø,ø,ante,3,traduction,Non, Non,,0,0,0,0,0,0,0,2
,que,que,que,que,ø,ø,que,que,3,traduction,Non, Non,,2,2,2,2,0,0,2,2
,que,que,que,que,ø,e,que,que,3,traduction,Non, Non,,3,3,3,3,0,2,3,3
,les,los,les,les,les,les,les,ø,3,traduction,Non, Non,,1,3,1,1,1,1,1,0
,el,el,el,el,ø,el,el,el,3,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,e,ø,ø,ø,3,traduction,Non, Non,,0,0,0,0,1,0,0,0
,porque,porque,porque,porque,que,porque,ø,porque,3,traduction,Non, Non,,1,1,1,1,3,1,0,1
,ø,ø,ø,ø,de,ø,ø,ø,3,traduction,Non, Non,,0,0,0,0,1,0,0,0
,a,ø,a,a,ø,ø,a,ø,3,traduction,Non, Non,,2,0,2,2,0,0,2,0
,el,ø,el,el,el,el,el,el,3,traduction,Non, Non,,1,0,1,1,1,1,1,1
,la,la,la,ø,la,ø,la,ø,3,traduction,Non, Non,,1,1,1,0,1,0,1,0
,por,por,por,por,ø,por,por,por,3,traduction,Non, Non,,2,2,2,2,0,2,2,2
,es,es,es,es,es,es,es,ø,3,traduction,Non, Non,,1,1,1,1,1,1,1,0
,es,ø,es,es,es,ø,es,ø,3,traduction,Non, Non,,1,0,1,1,1,0,1,0
,que,ø,que,ø,ø,ø,que,ø,3,traduction,Non, Non,,2,0,2,0,0,0,2,0
,muy,ø,ø,ø,ø,ø,muy,ø,3,traduction,Non, Non,,2,0,0,0,0,0,2,0
,ø,los,los,los,los,los,los,los,3,traduction,Non, Non,,0,1,1,1,1,1,1,1
,ø,ø,ø,ø,ø,los,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,ø,ø,han,3,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,es,ø,ø,ø,3,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,muy,ø,ø,muy,ø,ø,ø,3,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,es,ø,ø,es,ø,ø,ø,3,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,el,el,el,el,el,el,el,3,traduction,Non, Non,,0,1,1,1,1,1,1,1
,ø,ø,ø,ø,ø,libro,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,libro,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,menester,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,es,ø,ø,ø,ø,ø,es,3,traduction,Non, Non,,0,2,0,0,0,0,0,2
,es,ø,es,es,ø,es,es,el,3,traduction,Non, Non,,2,0,2,2,0,2,2,1
,ø,es,ø,es,ø,ø,ø,ø,3,traduction,Non, Non,,0,2,0,2,0,0,0,0
,anchos,anchos,anchos,anchos,anchos,ø,anchos,anchos,3,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ø,la,ø,ø,la,la,ø,la,3,traduction,Non, Non,,0,1,0,0,1,1,0,1
,non,ø,non,non,ø,ø,non,ø,3,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,todas,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,condiçiones,ø,ø,3,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ser,ser,ser,ser,ser,ser,ser,ø,3,traduction,Non, Non,,1,1,1,1,1,1,1,0
,en,ø,en,en,en,en,en,en,3,traduction,Non, Non,,1,0,1,1,1,1,1,1
,bien,bien,bien,bien,bien,ø,bien,bien,3,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ø,en,ø,ø,en,en,ø,en,3,traduction,Non, Non,,0,1,0,0,1,1,0,1
,ø,en,ø,ø,en,en,ø,en,3,traduction,Non, Non,,0,1,0,0,1,1,0,1
,ø,los,ø,ø,los,ø,ø,ø,3,traduction,Non, Non,,0,1,0,0,1,0,0,0
,pechos,pechos,pechos,pechos,ø,pechos,pechos,pechos,3,traduction,Non, Non,,2,2,2,2,0,2,2,2
,los,los,los,los,ø,los,los,los,3,traduction,Non, Non,,2,2,2,2,0,2,2,2
,buenos,ø,buenos,buenos,buenos,buenos,buenos,buenos,3,traduction,Non, Non,,1,0,1,1,1,1,1,1
,les,les,les,les,les,les,ø,les,3,glose,Non, Non,,1,1,1,1,1,1,0,1
,ø,quanto,ø,ø,quanto,quanto,ø,quanto,3,glose,Non, Non,,0,1,0,0,1,1,0,1
,ø,ø,ø,ø,mucho,ø,ø,ø,3,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,commo,ø,ø,commo,commo,ø,ø,3,glose,Non, Non,,0,1,0,0,1,1,0,0
,ø,ø,ø,ø,ø,qué,ø,qué,3,glose,Non, Non,,0,0,0,0,0,2,0,2
,ø,ø,ø,ø,ø,ø,ø,primero,3,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,non,ø,ø,non,non,ø,non,3,glose,Non, Non,,0,1,0,0,1,1,0,1
,que,ø,que,que,ø,ø,que,ø,3,glose,Non, Non,,2,0,2,2,0,0,2,0
,la,ø,la,la,ø,ø,la,la,3,glose,Non, Non,,2,0,2,2,0,0,2,2
,e,e,e,e,ø,e,e,ø,3,glose,Non, Non,,2,2,2,2,0,2,2,0
,es,ø,es,es,ø,ø,es,ø,3,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,tiranos,ø,ø,ø,ø,ø,3,glose,Non, Non,,0,0,2,0,0,0,0,0
,es,es,es,es,ø,es,es,es,3,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ellos,ø,ø,ø,ø,ø,3,glose,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,ø,ø,ø,la,ø,3,glose,Non, Non,,0,0,0,0,0,0,2,0
,nuestro,nuestro,nuestro,ø,nuestro,nuestro,nuestro,nuestro,3,glose,Non, Non,,1,1,1,0,1,1,1,1
,los,ø,los,los,los,los,los,los,3,glose,Non, Non,,1,0,1,1,1,1,1,1
,que,que,ø,ø,ø,ø,ø,que,3,glose,Non, Non,,2,2,0,0,0,0,0,2
,ø,se,ø,ø,ø,se,ø,se,3,glose,Non, Non,,0,2,0,0,0,2,0,2
,en,ø,ø,en,ø,en,en,en,3,glose,Non, Non,,2,0,0,2,0,2,2,2
,muy,ø,muy,muy,ø,muy,muy,muy,3,glose,Non, Non,,2,0,2,2,0,2,2,2
,a,ø,a,a,ø,ø,a,ø,3,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,todas,ø,ø,3,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,el,ø,el,3,glose,Non, Non,,0,0,0,0,0,2,0,2
,libro,libro,libro,ø,libro,libro,libro,libro,3,glose,Non, Non,,1,1,1,0,1,1,1,1
,a,xii,a,xij°,ø,xii,a,xii°,3,glose,Non, Non,,2,1,2,4,0,1,2,4
,ø,de,ø,ø,de,de,ø,de,3,glose,Non, Non,,0,1,0,0,1,1,0,1
,en,en,en,ø,en,en,en,en,3,glose,Non, Non,,1,1,1,0,1,1,1,1
,ø,ø,ø,ø,ø,condiçiones,ø,condiçiones,3,glose,Non, Non,,0,0,0,0,0,2,0,2
,que,que,que,que,que,que,que,ø,3,glose,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,ø,ø,ø,ý,3,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,ø,que,ø,que,3,glose,Non, Non,,0,0,0,0,0,2,0,2
,ø,ø,ø,ø,ø,echadas,ø,ø,3,glose,Non, Non,,0,0,0,0,0,2,0,0
,e,e,ø,e,e,e,e,e,3,glose,Non, Non,,1,1,0,1,1,1,1,1
,ø,echadas,ø,ø,ø,echadas,ø,ø,3,glose,Non, Non,,0,2,0,0,0,2,0,0
,ø,ø,ø,ø,de,ø,ø,ø,3,glose,Non, Non,,0,0,0,0,1,0,0,0
,mugeres,mugeres,mugeres,mugeres,mugeres,ø,mugeres,mugeres,3,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,que,ø,que,ø,que,3,glose,Non, Non,,0,0,0,2,0,2,0,2
,ø,fueron,ø,fueron,fueron,fueron,ø,fueron,3,glose,Non, Non,,0,1,0,1,1,1,0,1
,muy,muy,muy,ø,muy,muy,muy,muy,3,glose,Non, Non,,1,1,1,0,1,1,1,1
,Ca,ca,ca,e,ø,Ca,Ca,ca,3,glose,Non, Non,,1,1,1,3,0,1,1,1
,ø,ø,ø,ø,,ø,ø,ø,3,glose,Non, Non,,0,0,0,0,1,0,0,0
,todos,todos,todos,todos,ø,ø,todos,todos,3,glose,Non, Non,,2,2,2,2,0,0,2,2
,muy,ø,muy,muy,muy,muy,muy,muy,3,glose,Non, Non,,1,0,1,1,1,1,1,1
,a,a,ø,a,ø,ø,a,ø,3,glose,Non, Non,,2,2,0,2,0,0,2,0
,ø,ø,ø,ø,ø,ø,todos,ø,3,glose,Non, Non,,0,0,0,0,0,0,2,0
,a,a,a,a,a,ø,a,a,3,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ø,ø,se,ø,3,glose,Non, Non,,0,0,0,0,0,0,2,0
,buenos,buenos,buenos,buenos,buenos,ø,buenos,ø,4,,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,ø,ø,se,ø,4,,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,llamar,ø,4,,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,conviene,ø,conviene,4,traduction,Non, Non,,0,0,0,0,0,2,0,2
,ø,el,el,el,el,el,el,el,4,traduction,Non, Non,,0,1,1,1,1,1,1,1
,ø,ferir,ø,ø,ø,ø,ø,ø,4,traduction,Non, Non,,0,2,0,0,0,0,0,0
,les,les,les,les,ø,les,les,les,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,bien,bien,ø,bien,bien,bien,bien,bien,4,traduction,Non, Non,,1,1,0,1,1,1,1,1
,ø,ø,ø,ø,ø,muy,ø,ø,4,traduction,Non, Non,,0,0,0,0,0,2,0,0
,apenas,apenas,apenas,apenas,apenas,ø,apenas,apenas,4,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,e,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,de,de,de,de,ø,de,de,de,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,que,ø,ø,que,ø,ø,ø,4,traduction,Non, Non,,0,1,0,0,1,0,0,0
,de,de,de,de,ø,ø,de,de,4,traduction,Non, Non,,2,2,2,2,0,0,2,2
,muy,ø,ø,muy,ø,ø,muy,ø,4,traduction,Non, Non,,2,0,0,2,0,0,2,0
,e,e,e,e,ø,e,e,e,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,por,por,ø,por,por,por,por,por,4,traduction,Non, Non,,1,1,0,1,1,1,1,1
,ø,ø,ø,ø,ø,non,ø,ø,4,traduction,Non, Non,,0,0,0,0,0,2,0,0
,les,les,les,les,ø,les,les,les,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,de,ø,de,de,ø,ø,de,ø,4,traduction,Non, Non,,2,0,2,2,0,0,2,0
,el,el,el,el,el,ø,el,ø,4,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,que,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,de,ø,ø,ø,ø,4,traduction,Non, Non,,0,0,0,2,0,0,0,0
,ø,ø,ø,ø,morir,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,el,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,es,es,es,es,es,es,es,ø,4,traduction,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,de,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,su,su,su,su,ø,su,su,su,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,por,ø,ø,por,de,ø,ø,4,traduction,Non, Non,,0,3,0,0,3,2,0,0
,es,es,es,es,es,es,es,ø,4,traduction,Non, Non,,1,1,1,1,1,1,1,0
,de,ø,de,de,de,de,de,de,4,traduction,Non, Non,,1,0,1,1,1,1,1,1
,que,que,que,ø,que,que,que,que,4,traduction,Non, Non,,1,1,1,0,1,1,1,1
,ø,la,ø,la,la,ø,ø,la,4,traduction,Non, Non,,0,1,0,1,1,0,0,1
,ø,ø,ø,ø,ø,ø,ø,de,4,traduction,Non, Non,,0,0,0,0,0,0,0,2
,muy,muy,muy,muy,muy,muy,muy,ø,4,traduction,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,muy,ø,ø,ø,4,traduction,Non, Non,,0,0,0,0,1,0,0,0
,la,la,la,ø,la,la,la,la,4,traduction,Non, Non,,1,1,1,0,1,1,1,1
,ø,a,ø,ø,ø,ø,ø,ø,4,traduction,Non, Non,,0,2,0,0,0,0,0,0
,lidiadores,lidiadores,lidiadores,lidiadores,ø,lidiadores,lidiadores,lidiadores,4,traduction,Non, Non,,2,2,2,2,0,2,2,2
,deuen,deven,de,de,deven,deven,ø,deven,4,traduction,Non, Non,,1,1,3,3,1,1,0,1
,ø,ø,ø,ø,ø,el,ø,el,4,traduction,Non, Non,,0,0,0,0,0,2,0,2
,de,ø,de,de,que,que,de,que,4,traduction,Non, Non,,3,0,3,3,1,1,3,1
,a,a,a,a,ø,a,a,a,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,a,a,a,a,ø,a,a,a,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,a,ø,ø,ø,ø,ø,4,glose,Non, Non,,0,0,2,0,0,0,0,0
,en,ø,en,en,en,en,en,en,4,glose,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,ø,ø,ø,ø,se,ø,4,glose,Non, Non,,0,0,0,0,0,0,2,0
,e,e,e,e,e,ø,e,e,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ø,con,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,a,a,ø,ø,4,glose,Non, Non,,0,0,0,0,1,1,0,0
,mayormente,mayormente,mayormente,mayormente,mayormente,ø,mayormente,mayormente,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,la,la,la,la,la,ø,la,la,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,non,ø,ø,ø,4,glose,Non, Non,,0,0,0,0,1,0,0,0
,las,las,ø,las,las,las,las,las,4,glose,Non, Non,,1,1,0,1,1,1,1,1
,ø,ø,ø,ø,ø,enperador,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,de,ø,ø,de,de,ø,de,4,glose,Non, Non,,0,1,0,0,1,1,0,1
,tiro,ø,tiro,tiro,tiro,tiro,tiro,ø,4,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,ø,ø,ø,toda,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,toda,toda,ø,toda,ø,ø,toda,toda,4,glose,Non, Non,,2,2,0,2,0,0,2,2
,ø,ante,ante,ante,ante,ø,ante,ø,4,glose,Non, Non,,0,1,1,1,1,0,1,0
,ante,ø,ø,ø,ø,ante,ø,ø,4,glose,Non, Non,,2,0,0,0,0,2,0,0
,ø,cosa,ø,cosa,cosa,cosa,ø,cosa,4,glose,Non, Non,,0,1,0,1,1,1,0,1
,los,ø,los,los,los,los,los,los,4,glose,Non, Non,,1,0,1,1,1,1,1,1
,los,ø,ø,ø,ø,ø,ø,ø,4,glose,Non, Non,,2,0,0,0,0,0,0,0
,que,que,ø,que,que,que,que,que,4,glose,Non, Non,,1,1,0,1,1,1,1,1
,si,sý,sí,sí,sí,e,ø,ø,4,glose,Non, Non,,1,3,3,3,3,4,0,0
,a,capítulo,a,ø,capítulo,capítulo,a,capítulo,4,glose,Non, Non,,2,1,2,0,1,1,2,1
,ø,ø,ø,ø,ø,de,ssi,e,4,glose,Non, Non,,0,0,0,0,0,3,1,4
,a,a,a,a,ø,a,a,ø,4,glose,Non, Non,,2,2,2,2,0,2,2,0
,a,ø,a,a,a,a,a,ø,4,glose,Non, Non,,1,0,1,1,1,1,1,0
,por,por,por,por,ø,por,por,por,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,por,por,por,por,ø,por,por,por,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,por,por,ø,ø,por,ø,ø,por,4,glose,Non, Non,,1,1,0,0,1,0,0,1
,ø,que,porque,porque,que,porque,porque,que,4,glose,Non, Non,,0,1,3,3,1,3,3,1
,ø,ø,ø,ø,ø,ø,y,ø,4,glose,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,ø,de,4,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,ø,ø,ø,de,4,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,ø,faze,ø,fázele,4,glose,Non, Non,,0,0,0,0,0,1,0,3
,ø,se,ø,ø,ø,ø,ø,ø,4,glose,Non, Non,,0,2,0,0,0,0,0,0
,peor,,peor,peor,ø,peor,peor,peor,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,nada,ø,ø,nada,ø,ø,ø,4,glose,Non, Non,,0,1,0,0,1,0,0,0
,que,que,que,que,ø,que,que,que,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,e,ø,ø,ø,4,glose,Non, Non,,0,0,0,0,1,0,0,0
,a,ø,ø,ø,ø,ø,a,ø,4,glose,Non, Non,,2,0,0,0,0,0,2,0
,a,ø,a,a,ø,que,a,que,4,glose,Non, Non,,2,0,2,2,0,1,2,1
,que,que,que,que,que,ø,que,que,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,se,se,se,se,se,se,ø,se,4,glose,Non, Non,,1,1,1,1,1,1,0,1
,ø,ø,se,ø,ø,ø,se,ø,4,glose,Non, Non,,0,0,2,0,0,0,2,0
,ø,ellos,ø,ø,ellos,ø,ø,ellos,4,glose,Non, Non,,0,1,0,0,1,0,0,1
,que,que,ø,que,ø,que,que,que,4,glose,Non, Non,,2,2,0,2,0,2,2,2
,que,que,que,que,ø,que,que,ø,4,glose,Non, Non,,2,2,2,2,0,2,2,0
,muy,muy,muy,ø,ø,muy,muy,muy,4,glose,Non, Non,,2,2,2,0,0,2,2,2
,ø,la,ø,ø,la,la,ø,la,4,glose,Non, Non,,0,1,0,0,1,1,0,1
,ø,les,ø,ø,les,les,ø,les,4,glose,Non, Non,,0,1,0,0,1,1,0,1
,que,que,que,que,que,que,ø,que,4,glose,Non, Non,,1,1,1,1,1,1,0,1
,ø,ø,ø,ø,ø,quarto,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,los,ø,los,ø,ø,ø,los,ø,4,glose,Non, Non,,2,0,2,0,0,0,2,0
,ø,ø,dicho,ø,ø,ø,ø,ø,4,glose,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,tiró,ø,ø,ø,ø,4,glose,Non, Non,,0,0,0,2,0,0,0,0
,ø,a,ø,ø,a,a,ø,a,4,glose,Non, Non,,0,1,0,0,1,1,0,1
,son,son,son,son,ø,son,son,son,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,de,ø,de,ø,de,4,glose,Non, Non,,0,0,0,2,0,2,0,2
,que,que,que,que,que,que,que,ø,4,glose,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,a,ø,ø,ø,4,glose,Non, Non,,0,0,0,0,1,0,0,0
,bien,bien,ø,bien,bien,bien,bien,bien,4,glose,Non, Non,,1,1,0,1,1,1,1,1
,ø,Utero,ø,Breronomj,ø,ø,ø,ø,4,glose,Non, Non,,0,1,0,3,0,0,0,0
,todos,todos,todos,todos,todos,ø,todos,todos,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,todos,todos,todos,todos,todos,ø,todos,todos,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,que,ø,ø,ø,ø,ø,ø,ø,4,glose,Non, Non,,2,0,0,0,0,0,0,0
,ø,ø,el,el,ø,el,el,el,4,glose,Non, Non,,0,0,2,2,0,2,2,2
,ø,esta,ø,ø,esta,ø,ø,ø,4,glose,Non, Non,,0,1,0,0,1,0,0,0
,fe,fe,fe,fe,ø,fe,fe,fe,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,ø,cosa,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,esperança,esperança,esperança,esperança,ø,esperança,esperança,esperança,4,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,ø,ø,ø,o,4,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,le,ø,ø,ø,4,glose,Non, Non,,0,0,0,0,1,0,0,0
