zienꝺo zienꝺo RG 0.0694316
les le PP3CPD00 1

çar çar VMN0000 1
los el DA0MP0 0.964169

ſa ſa VMII3S0 0.124879
eta eta NCFS000 1

ſemeiar ſemeiar VMN0000 1
les le PP3CPD00 1

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
non no RN 0.99968

ſi ſi RG 0.913525
nō nō VMIS3S0 0.0525441

ſi ſi RG 0.913525
nō nō VMIS3S0 0.0525441

ſi ſi RG 0.913525
nȯ nȯ VMIS3S0 0.0525441

ſi ſi RG 0.913525
puꝺier puꝺier VMSP3S0 0.46427
ꝺes ꝺes NCMP000 0.305671

ſobꝛe ſobꝛe VMIP3S0 0.160865
poner poner VMN0000 1

ſobꝛe ſobꝛe RG 0.121654
ſeṅa ſeṅa VMII3S0 0.124879

ſobꝛe ſobꝛe RG 0.121654
ſeṅales ſeṅales AQ0CP00 0.515187

ſobꝛe ſobꝛe RG 0.121654
ꝺich ꝺich RG 0.25

ſobꝛe ſobꝛe RG 0.121654
ꝺicha ꝺicha VMP00SF 0.428578

ſobꝛe ſobꝛe RG 0.121654
ꝺichas ꝺichas AQ0FP00 0.333258

ſobꝛe ſobꝛe RG 0.121654
ꝺichas. ꝺichas. VMIS3S0 0.0525441

ſobꝛe ſobꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

ſobꝛe ſobꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

ſobꝛe ſobꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

ſobꝛe ſobꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

ſobꝛe ſobꝛe RG 0.121654
ꝺichos. ꝺichos. VMIS3S0 0.0525441

ſolepne ſolepne VMIP3S0 0.311469
mė mė NCMS000 0.175279

ſuelen ſuelen VMIP3P0 1
les le PP3CPD00 1

