,A,B,G,J,Q,R,Z
367,2,1,2,2,1,2,2
368,2,1,1,2,1,2,2
369,1,2,1,2,2,2,1
370,1,1,1,1,2,1,1
371,1,3,1,1,1,2,1
372,2,2,2,2,1,2,2
373,2,1,2,2,1,2,2
374,1,1,1,2,1,2,1
375,1,2,1,1,1,1,1
376,2,1,2,2,1,2,2
377,2,2,2,2,1,2,2
378,2,2,2,2,1,2,2
379,1,3,1,1,3,2,1
380,2,2,2,2,1,2,2
381,2,1,2,2,1,2,2
382,2,1,2,2,1,2,2
383,1,2,1,1,2,1,1
384,1,2,1,0,2,0,1
385,1,1,1,2,1,2,1
386,2,1,2,2,1,2,2
387,1,2,1,1,2,1,1
388,1,1,1,1,1,2,2
389,2,2,2,2,2,1,2
390,1,2,1,1,2,1,1
391,2,1,2,2,1,2,2
392,1,2,1,1,2,1,1
393,1,2,1,1,2,1,1
394,3,2,1,1,2,2,2
395,2,1,2,1,1,1,2
396,2,1,2,2,1,2,2
397,1,2,1,1,2,1,1
